Country,Confirmed,Deaths,Recovered,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Population
Afghanistan,4033,115,502,255,2.85,12.45,38928341
Albania,856,31,627,6,3.62,73.25,2877800
Algeria,5558,494,2546,189,8.89,45.81,43851043
Andorra,754,48,545,2,6.37,72.28,77265
Angola,43,2,13,0,4.65,30.23,32866268
Antigua and Barbuda,25,3,19,0,12,76,97928
Argentina,5776,300,1728,165,5.19,29.92,45195777
Armenia,3175,44,1267,146,1.39,39.91,2963234
Australia,6939,97,6141,21,1.4,88.5,50919400
Austria,15833,615,13928,59,3.88,87.97,9006400
Azerbaijan,2422,31,1620,143,1.28,66.89,10139175
Bahamas,92,11,37,0,11.96,40.22,393248
Bahrain,4774,8,2055,330,0.17,43.05,1701583
Bangladesh,13770,214,2414,636,1.55,17.53,164689383
Barbados,84,7,57,1,8.33,67.86,287371
Belarus,22052,126,6050,951,0.57,27.44,9449321
Belgium,52596,8581,13411,585,16.31,25.5,11589616
Belize,18,2,16,0,11.11,88.89,397621
Benin,284,2,62,42,0.7,21.83,12123198
Bhutan,7,0,5,0,0,71.43,771612
Bolivia,2437,114,258,171,4.68,10.59,11673029
Bosnia and Herzegovina,2090,102,1059,20,4.88,50.67,3280815
Botswana,23,1,12,0,4.35,52.17,2351625
Brazil,156061,10656,61685,9167,6.83,39.53,422706534
Brunei,141,1,132,0,0.71,93.62,437483
Bulgaria,1921,90,422,49,4.69,21.97,6948445
Burkina Faso,748,48,569,4,6.42,76.07,20903278
Burma,178,6,68,1,3.37,38.2,54409800
Burundi,15,1,7,0,6.67,46.67,11890781
Cabo Verde,236,2,56,6,0.85,23.73,555988
Cambodia,122,0,120,0,0,98.36,16718971
Cameroon,2274,108,1232,7,4.75,54.18,26545864
Canada,68918,4823,31262,1244,7,45.36,75711404
Central African Republic,143,0,10,0,0,6.99,4829764
Chad,322,31,53,62,9.63,16.46,16425859
Chile,27219,304,12667,1247,1.12,46.54,36690212
China,83990,4637,79127,14,5.52,94.21,-2147483648
Colombia,10495,445,2569,444,4.24,24.48,99141018
Comoros,11,1,0,3,9.09,0,869595
Congo (Brazzaville),274,10,33,0,3.65,12.04,89561403
Congo (Kinshasa),937,39,130,0,4.16,13.87,5518087
Costa Rica,780,6,480,7,0.77,61.54,5094114
Cote d'Ivoire,1667,21,769,65,1.26,46.13,26378274
Croatia,2176,87,1726,15,4,79.32,4105268
Cuba,1754,74,1140,13,4.22,64.99,11326616
Cyprus,892,15,401,1,1.68,44.96,1207361
Czechia,8095,276,4447,18,3.41,54.94,10708981
Denmark,10517,526,8291,101,5,78.83,5897840
Diamond Princess,712,13,645,0,1.83,90.59,0
Djibouti,1189,3,834,54,0.25,70.14,988002
Dominica,16,0,14,0,0,87.5,71991
Dominican Republic,9882,385,2584,506,3.9,26.15,10847904
Ecuador,29071,1717,3433,253,5.91,11.81,17643060
Egypt,8964,514,2002,488,5.73,22.33,102334403
El Salvador,784,17,276,42,2.17,35.2,6486201
Equatorial Guinea,439,4,13,0,0.91,2.96,1402985
Eritrea,39,0,37,0,0,94.87,3546427
Estonia,1733,60,747,8,3.46,43.1,1326539
Eswatini,163,2,14,4,1.23,8.59,1160164
Ethiopia,210,5,97,16,2.38,46.19,114963583
Fiji,18,0,14,0,0,77.78,896444
Finland,5880,265,4000,142,4.51,68.03,5540718
France,176782,26313,56148,580,14.88,31.76,68136441
Gabon,661,8,110,41,1.21,16.64,2225728
Gambia,20,1,9,0,5,45,2416664
Georgia,626,10,297,3,1.6,47.44,3989175
Germany,171324,7549,143300,736,4.41,83.64,166803158
Ghana,4263,22,378,251,0.52,8.87,31072945
Greece,2710,151,1374,19,5.57,50.7,10423056
Grenada,21,0,13,0,0,61.9,112519
Guatemala,967,24,104,67,2.48,10.75,17915567
Guinea,2042,11,698,33,0.54,34.18,13132792
Guinea-Bissau,641,3,25,47,0.47,3.9,1967998
Guyana,94,10,35,0,10.64,37.23,786559
Haiti,151,12,17,5,7.95,11.26,11402533
Holy See,12,0,2,0,0,16.67,809
Honduras,1830,108,195,59,5.9,10.66,9904608
Hungary,3213,405,904,35,12.61,28.14,9660350
Iceland,1801,10,1773,0,0.56,98.45,341250
India,62808,2101,19301,3113,3.35,30.73,1380004385
Indonesia,13645,959,2607,533,7.03,19.11,273523621
Iran,106220,6589,85064,1529,6.2,80.08,83992953
Iraq,2679,107,1702,76,3.99,63.53,40222503
Ireland,22760,1446,17110,219,6.35,75.18,4937796
Israel,16454,247,11376,18,1.5,69.14,8655541
Italy,218268,30395,103031,1083,13.93,47.2,120822834
Jamaica,490,9,62,0,1.84,12.65,2961161
Japan,15663,607,5906,88,3.88,37.71,252643406
Jordan,522,9,387,14,1.72,74.14,10203140
Kazakhstan,4975,31,1776,141,0.62,35.7,18776707
Kenya,649,30,207,28,4.62,31.9,53771300
"Korea, South",10874,256,9610,34,2.35,88.38,51269183
Kosovo,862,28,622,1,3.25,72.16,1793000
Kuwait,7623,49,2622,415,0.64,34.4,4270563
Kyrgyzstan,931,12,658,25,1.29,70.68,6524191
Laos,19,0,13,0,0,68.42,7275556
Latvia,930,18,464,2,1.94,49.89,1886202
Lebanon,809,26,234,13,3.21,28.92,6825442
Lesotho,0,0,0,0,0,0,2142252
Liberia,199,20,79,0,10.05,39.7,5057677
Libya,64,3,24,0,4.69,37.5,6871287
Liechtenstein,82,1,55,0,1.22,67.07,38137
Lithuania,1444,49,828,8,3.39,57.34,2722291
Luxembourg,3877,101,3550,6,2.61,91.57,625976
MS Zaandam,9,2,0,0,22.22,0,0
Madagascar,193,0,101,0,0,52.33,27691019
